"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
5,610;-0,01;0,03;-0,70
5,620;-0,01;0,03;-0,97
5,630;-0,01;0,01;-0,88
5,640;-0,01;0,00;-0,11
5,650;-0,01;0,01;0,73
5,660;-0,01;0,03;0,11
5,670;-0,01;0,02;-1,26
5,680;-0,01;-0,01;-1,70
5,690;-0,01;-0,03;-0,81
5,700;-0,01;-0,02;0,36
5,710;-0,01;-0,01;0,67
5,720;-0,01;0,00;0,12
5,730;-0,01;-0,01;-0,77
5,740;-0,01;-0,02;-1,35
5,750;-0,01;-0,04;-1,24
5,760;-0,01;-0,05;-0,67
5,770;-0,01;-0,05;-0,07
5,780;-0,01;-0,05;0,19
5,790;-0,01;-0,05;0,19
5,800;-0,01;-0,05;0,23
5,810;-0,01;-0,04;0,34
5,820;-0,01;-0,04;0,31
5,830;-0,01;-0,03;0,02
5,840;-0,01;-0,04;-0,28
5,850;-0,01;-0,04;-0,35
5,860;-0,01;-0,05;-0,16
5,870;-0,01;-0,05;0,09
5,880;-0,01;-0,04;0,20
5,890;-0,01;-0,04;0,14
5,900;-0,01;-0,04;0,13
5,910;-0,02;-0,04;0,31
5,920;-0,02;-0,04;0,61
5,930;-0,02;-0,03;0,73
5,940;-0,02;-0,02;0,59
5,950;-0,02;-0,01;0,43
5,960;-0,02;-0,01;0,38
5,970;-0,02;-0,01;0,43
5,980;-0,02;0,00;0,47
5,990;-0,02;0,00;0,53
6,000;-0,02;0,01;0,53
6,010;-0,02;0,01;0,44
6,020;-0,02;0,02;0,34
6,030;-0,02;0,02;0,25
6,040;-0,02;0,02;0,11
6,050;-0,02;0,02;-0,09
6,060;-0,02;0,02;-0,20
6,070;-0,02;0,02;-0,11
6,080;-0,02;0,02;0,08
6,090;-0,01;0,02;0,24
6,100;-0,01;0,02;0,25
6,110;-0,01;0,03;0,11
6,120;-0,01;0,03;-0,04
6,130;-0,01;0,02;-0,10
6,140;-0,01;0,02;-0,01
6,150;-0,01;0,02;0,10
6,160;-0,01;0,03;0,06
6,170;-0,01;0,03;-0,08
6,180;-0,01;0,02;-0,27
6,190;-0,01;0,02;-0,43
6,200;-0,01;0,01;-0,49
6,210;-0,01;0,01;-0,39
6,220;-0,01;0,01;-0,24
6,230;-0,01;0,01;-0,19
6,240;-0,01;0,00;-0,20
6,250;-0,01;0,00;-0,11
6,260;-0,01;-2,39E-4;0,05
6,270;-0,01;0,00;0,01
6,280;-0,01;0,00;-0,14
6,290;-0,01;0,00;-0,16
6,300;-0,01;0,00;0,04
6,310;-0,01;-2,39E-4;0,21
