"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
3,790;0,03;-0,59;-1,99
3,800;0,02;-0,61;-1,76
3,810;0,02;-0,63;-1,42
3,820;0,01;-0,64;-1,07
3,830;0,01;-0,65;-0,98
3,840;0,00;-0,65;-0,76
3,850;-0,01;-0,67;-0,87
3,860;-0,02;-0,66;-0,80
3,870;-0,02;-0,69;-0,46
3,880;-0,03;-0,68;0,54
3,890;-0,04;-0,68;1,72
3,900;-0,04;-0,64;1,74
3,910;-0,05;-0,62;1,59
3,920;-0,05;-0,63;1,57
3,930;-0,06;-0,60;2,54
3,940;-0,07;-0,57;3,35
3,950;-0,07;-0,52;3,46
3,960;-0,08;-0,50;3,46
3,970;-0,08;-0,46;3,35
3,980;-0,09;-0,43;3,50
3,990;-0,09;-0,40;3,58
4,000;-0,09;-0,36;3,82
4,010;-0,10;-0,32;4,11
4,020;-0,10;-0,28;4,26
4,030;-0,10;-0,23;4,35
4,040;-0,11;-0,19;4,40
4,050;-0,11;-0,14;4,49
4,060;-0,11;-0,10;4,57
4,070;-0,11;-0,05;4,92
4,080;-0,11;-0,01;5,87
4,090;-0,11;0,06;6,87
4,100;-0,11;0,14;6,27
4,110;-0,11;0,21;3,35
4,120;-0,10;0,22;0,38
4,130;-0,10;0,19;0,95
4,140;-0,10;0,19;4,39
4,150;-0,10;0,29;6,94
4,160;-0,10;0,37;6,63
4,170;-0,09;0,42;4,83
4,180;-0,09;0,46;3,70
4,190;-0,08;0,49;2,44
4,200;-0,08;0,52;1,47
4,210;-0,07;0,51;1,48
4,220;-0,07;0,54;2,16
4,230;-0,06;0,57;2,60
4,240;-0,05;0,59;2,13
4,250;-0,05;0,61;1,60
4,260;-0,04;0,62;1,13
4,270;-0,04;0,63;0,69
4,280;-0,03;0,63;0,39
4,290;-0,02;0,64;0,25
4,300;-0,02;0,64;0,12
4,310;-0,01;0,64;-0,12
4,320;0,00;0,64;-0,40
4,330;0,00;0,63;-0,72
4,340;0,01;0,63;-1,15
4,350;0,01;0,61;-1,59
4,360;0,02;0,59;-1,89
4,370;0,03;0,57;-2,03
4,380;0,03;0,55;-2,16
4,390;0,04;0,53;-2,40
4,400;0,04;0,50;-2,65
4,410;0,05;0,48;-2,84
4,420;0,05;0,45;-3,03
4,430;0,06;0,42;-3,22
4,440;0,06;0,38;-3,40
4,450;0,06;0,35;-3,63
4,460;0,07;0,31;-3,97
4,470;0,07;0,27;-4,29
4,480;0,07;0,22;-4,35
4,490;0,07;0,18;-4,25
4,500;0,08;0,14;-4,23
4,510;0,08;0,10;-4,38
4,520;0,08;0,05;-4,49
4,530;0,08;0,00;-4,45
4,540;0,08;-0,04;-4,39
4,550;0,08;-0,08;-4,44
4,560;0,08;-0,13;-4,51
4,570;0,08;-0,17;-4,39
4,580;0,07;-0,22;-4,09
4,590;0,07;-0,25;-3,88
4,600;0,07;-0,29;-3,84
4,610;0,07;-0,33;-3,81
4,620;0,06;-0,37;-3,62
4,630;0,06;-0,40;-3,38
4,640;0,05;-0,44;-3,18
4,650;0,05;-0,47;-2,99
4,660;0,04;-0,50;-2,81
4,670;0,04;-0,52;-2,57
4,680;0,03;-0,55;-2,29
4,690;0,03;-0,57;-1,90
4,700;0,02;-0,59;-1,56
4,710;0,02;-0,60;-1,31
4,720;0,01;-0,61;-1,17
4,730;0,00;-0,62;-0,99
4,740;0,00;-0,63;-0,70
4,750;-0,01;-0,64;-0,39
4,760;-0,02;-0,64;-0,38
4,770;-0,02;-0,64;-0,46
4,780;-0,03;-0,66;-0,14
4,790;-0,03;-0,65;0,36
4,800;-0,04;-0,64;1,28
4,810;-0,05;-0,63;2,16
4,820;-0,05;-0,59;2,85
4,830;-0,06;-0,56;2,55
4,840;-0,06;-0,54;1,75
4,850;-0,07;-0,54;2,22
4,860;-0,08;-0,51;3,50
4,870;-0,08;-0,45;4,34
4,880;-0,08;-0,41;4,01
4,890;-0,09;-0,38;3,49
4,900;-0,09;-0,35;3,62
4,910;-0,10;-0,31;3,96
4,920;-0,10;-0,27;4,25
4,930;-0,10;-0,22;4,45
4,940;-0,10;-0,18;4,50
4,950;-0,10;-0,13;4,45
4,960;-0,11;-0,09;4,35
4,970;-0,11;-0,05;4,30
4,980;-0,11;0,00;4,34
4,990;-0,11;0,04;4,44
5,000;-0,11;0,09;4,49
5,010;-0,10;0,13;4,45
5,020;-0,10;0,18;4,30
5,030;-0,10;0,22;4,20
5,040;-0,10;0,26;4,11
5,050;-0,10;0,30;3,97
5,060;-0,09;0,34;3,74
5,070;-0,09;0,38;3,40
5,080;-0,09;0,41;3,14
5,090;-0,08;0,44;3,07
5,100;-0,08;0,47;3,44
5,110;-0,07;0,50;4,00
5,120;-0,07;0,55;4,07
5,130;-0,06;0,59;3,11
5,140;-0,05;0,62;1,49
5,150;-0,05;0,62;0,47
5,160;-0,04;0,61;0,46
5,170;-0,04;0,63;0,74
5,180;-0,03;0,64;0,49
5,190;-0,02;0,64;-0,25
5,200;-0,02;0,63;-0,76
5,210;-0,01;0,62;-0,82
5,220;0,00;0,61;-0,71
5,230;0,00;0,61;-0,73
5,240;0,01;0,60;-1,01
5,250;0,01;0,59;-1,39
5,260;0,02;0,57;-1,78
5,270;0,03;0,55;-2,04
5,280;0,03;0,53;-2,13
5,290;0,04;0,51;-2,25
5,300;0,04;0,49;-2,54
5,310;0,05;0,46;-2,88
5,320;0,05;0,43;-3,08
5,330;0,05;0,40;-3,21
5,340;0,06;0,36;-3,45
5,350;0,06;0,33;-3,75
5,360;0,06;0,29;-3,91
5,370;0,07;0,25;-3,87
5,380;0,07;0,21;-3,80
5,390;0,07;0,17;-3,89
5,400;0,07;0,13;-4,09
5,410;0,07;0,09;-4,24
5,420;0,07;0,05;-4,30
5,430;0,08;0,00;-4,30
5,440;0,08;-0,04;-4,31
5,450;0,07;-0,08;-4,27
5,460;0,07;-0,12;-4,18
5,470;0,07;-0,16;-4,03
5,480;0,07;-0,21;-3,89
5,490;0,07;-0,24;-3,79
5,500;0,07;-0,28;-3,74
5,510;0,06;-0,32;-3,70
5,520;0,06;-0,36;-3,57
5,530;0,06;-0,39;-3,33
5,540;0,05;-0,42;-3,09
5,550;0,05;-0,45;-2,90
5,560;0,04;-0,48;-2,71
5,570;0,04;-0,51;-2,48
5,580;0,03;-0,53;-2,15
5,590;0,03;-0,55;-1,76
5,600;0,02;-0,56;-1,37
5,610;0,02;-0,58;-1,07
5,620;0,01;-0,59;-0,88
5,630;0,00;-0,59;-0,73
5,640;0,00;-0,60;-0,59
5,650;-0,01;-0,61;-0,45
5,660;-0,01;-0,61;-0,23
5,670;-0,02;-0,61;0,21
5,680;-0,03;-0,61;0,60
5,690;-0,03;-0,59;0,89
5,700;-0,04;-0,59;1,13
5,710;-0,04;-0,58;1,45
5,720;-0,05;-0,56;1,26
5,730;-0,06;-0,54;0,35
5,740;-0,06;-0,55;0,13
5,750;-0,07;-0,56;1,80
5,760;-0,07;-0,53;4,40
5,770;-0,08;-0,45;5,34
5,780;-0,08;-0,39;4,24
5,790;-0,09;-0,37;3,10
5,800;-0,09;-0,35;3,35
5,810;-0,09;-0,31;4,20
5,820;-0,10;-0,26;4,42
5,830;-0,10;-0,22;4,17
5,840;-0,10;-0,18;4,15
5,850;-0,10;-0,14;4,44
5,860;-0,10;-0,09;4,56
5,870;-0,10;-0,04;4,32
5,880;-0,10;0,00;4,06
5,890;-0,10;0,03;4,09
5,900;-0,10;0,08;4,34
5,910;-0,10;0,12;4,45
5,920;-0,10;0,17;4,26
5,930;-0,10;0,21;4,01
5,940;-0,10;0,25;3,86
5,950;-0,09;0,29;3,82
5,960;-0,09;0,32;3,64
5,970;-0,09;0,36;3,30
5,980;-0,08;0,39;3,09
5,990;-0,08;0,42;3,13
6,000;-0,07;0,45;3,29
6,010;-0,07;0,49;3,19
6,020;-0,06;0,52;3,09
6,030;-0,06;0,54;3,16
6,040;-0,05;0,58;2,98
6,050;-0,05;0,61;1,98
6,060;-0,04;0,63;0,32
6,070;-0,04;0,62;-0,85
6,080;-0,03;0,60;-1,00
6,090;-0,02;0,59;-0,43
6,100;-0,02;0,59;0,18
6,110;-0,01;0,60;0,40
6,120;-0,01;0,60;0,24
6,130;6,50E-4;0,60;-0,27
6,140;0,01;0,60;-0,98
6,150;0,01;0,59;-1,72
6,160;0,02;0,56;-2,23
6,170;0,02;0,54;-2,30
6,180;0,03;0,51;-2,09
6,190;0,03;0,50;-2,06
6,200;0,04;0,48;-2,38
6,210;0,04;0,45;-2,83
6,220;0,05;0,42;-3,13
6,230;0,05;0,39;-3,28
6,240;0,06;0,35;-3,37
6,250;0,06;0,32;-3,46
6,260;0,06;0,28;-3,60
6,270;0,07;0,25;-3,80
6,280;0,07;0,21;-3,95
6,290;0,07;0,17;-4,00
6,300;0,07;0,13;-4,05
6,310;0,07;0,09;-4,10
6,320;0,07;0,04;-4,15
6,330;0,07;0,00;-4,20
6,340;0,07;-0,04;-4,21
6,350;0,07;-0,08;-4,21
6,360;0,07;-0,12;-4,17
6,370;0,07;-0,16;-4,13
6,380;0,07;-0,21;-4,04
6,390;0,07;-0,25;-3,86
6,400;0,06;-0,28;-3,62
6,410;0,06;-0,32;-3,33
6,420;0,06;-0,35;-3,09
6,430;0,05;-0,38;-2,90
6,440;0,05;-0,41;-2,70
6,450;0,04;-0,43;-2,51
6,460;0,04;-0,46;-2,36
6,470;0,04;-0,48;-2,23
6,480;0,03;-0,50;-1,99
6,490;0,03;-0,52;-1,70
6,500;0,02;-0,54;-1,50
6,510;0,01;-0,55;-1,41
6,520;0,01;-0,56;-1,23
6,530;0,00;-0,58;-0,90
6,540;0,00;-0,58;-0,50
6,550;-0,01;-0,59;-0,21
6,560;-0,01;-0,59;-0,02
6,570;-0,02;-0,59;0,17
6,580;-0,03;-0,58;0,45
6,590;-0,03;-0,58;0,84
6,600;-0,04;-0,57;1,19
6,610;-0,04;-0,55;1,39
6,620;-0,05;-0,54;1,43
6,630;-0,05;-0,52;1,55
