"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
5,660;-0,01;0,02;-0,04
5,670;-0,01;0,02;-0,15
5,680;-0,01;0,02;-0,10
5,690;-0,01;0,02;-0,10
5,700;-0,01;0,02;-0,10
5,710;-0,01;0,01;0,00
5,720;-0,01;0,02;0,06
5,730;-0,01;0,02;-0,13
5,740;-0,01;0,01;-0,34
5,750;-0,01;0,01;-0,29
5,760;-0,01;0,01;-0,18
5,770;-0,01;0,01;-0,28
5,780;-0,01;0,00;-0,35
5,790;-0,01;0,00;-0,16
5,800;-0,01;-2,39E-4;0,06
5,810;-0,01;0,00;-0,07
5,820;-0,01;7,16E-4;-0,38
5,830;-0,01;-0,01;-0,41
5,840;-0,01;-0,01;-0,12
5,850;-0,01;-0,01;0,15
5,860;-0,01;-0,01;0,11
5,870;-0,01;-0,01;-0,09
5,880;-0,01;-0,01;-0,20
5,890;-0,01;-0,01;-0,16
5,900;-0,01;-0,01;-0,01
5,910;-0,01;-0,01;0,10
5,920;-0,01;-0,01;0,06
5,930;-0,01;-0,01;-0,05
5,940;-0,01;-0,01;-0,06
5,950;-0,01;-0,01;0,12
5,960;-0,01;-0,01;0,37
5,970;-0,01;0,00;0,48
5,980;-0,01;0,00;0,44
5,990;-0,01;0,01;0,34
6,000;-0,01;0,01;0,29
6,010;-0,01;0,01;0,29
6,020;-0,01;0,01;0,29
6,030;-0,01;0,02;0,29
6,040;-0,01;0,02;0,25
6,050;-0,01;0,02;0,15
6,060;-0,01;0,02;0,09
6,070;-0,01;0,02;0,14
6,080;-0,01;0,03;0,23
6,090;-0,01;0,03;0,29
6,100;-0,01;0,03;0,25
6,110;-0,01;0,03;0,12
6,120;-0,01;0,03;-0,13
6,130;-0,01;0,03;-0,29
6,140;-0,01;0,03;-0,25
6,150;-0,01;0,03;-0,14
6,160;-0,01;0,03;-0,13
6,170;-0,01;0,02;-0,28
6,180;-0,01;0,02;-0,39
6,190;-0,01;0,01;-0,35
6,200;-0,01;0,01;-0,20
6,210;-0,01;0,01;-0,08
6,220;-0,01;0,01;-0,26
6,230;-0,01;0,01;-0,57
6,240;-0,01;0,00;-0,64
6,250;-0,01;-0,01;-0,40
6,260;-0,01;-0,01;-0,18
6,270;-0,01;-0,01;-0,31
6,280;-0,01;-0,01;-0,57
6,290;-0,01;-0,02;-0,68
6,300;-0,01;-0,03;-0,55
6,310;-0,01;-0,03;-0,26
6,320;-0,01;-0,03;-7,41E-5
6,330;-0,01;-0,03;0,02
6,340;-0,01;-0,03;-0,18
6,350;-0,01;-0,04;-0,29
6,360;-0,01;-0,04;-0,20
6,370;-0,01;-0,04;-0,13
6,380;-0,01;-0,04;-0,27
6,390;-0,01;-0,05;-0,44
6,400;-0,01;-0,05;-0,37
6,410;-0,01;-0,05;0,05
6,420;-0,01;-0,05;0,60
6,430;-0,01;-0,04;0,92
6,440;-0,02;-0,03;0,76
6,450;-0,02;-0,02;0,27
6,460;-0,02;-0,03;-0,10
6,470;-0,02;-0,03;-0,12
6,480;-0,02;-0,03;0,16
6,490;-0,02;-0,03;0,51
6,500;-0,02;-0,02;0,72
6,510;-0,02;-0,01;0,64
6,520;-0,02;0,00;0,34
6,530;-0,02;0,00;0,22
6,540;-0,02;0,00;0,41
6,550;-0,02;0,01;0,63
6,560;-0,02;0,01;0,59
6,570;-0,02;0,02;0,43
6,580;-0,02;0,02;0,43
6,590;-0,02;0,03;0,40
6,600;-0,02;0,03;0,16
6,610;-0,02;0,03;-0,01
6,620;-0,02;0,03;0,08
6,630;-0,02;0,03;0,24
6,640;-0,01;0,03;0,21
6,650;-0,01;0,03;0,01
6,660;-0,01;0,03;-0,10
6,670;-0,01;0,03;-0,06
6,680;-0,01;0,03;0,05
6,690;-0,01;0,03;0,06
6,700;-0,01;0,03;-0,13
6,710;-0,01;0,03;-0,28
6,720;-0,01;0,03;-0,38
6,730;-0,01;0,03;-0,44
6,740;-0,01;0,02;-0,31
6,750;-0,01;0,01;-0,05
6,760;-0,01;0,02;-0,02
6,770;-0,01;0,02;-0,42
