"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
6,240;0,33;0,46
6,250;0,34;0,48
6,260;0,34;0,49
6,270;0,35;0,50
6,280;0,35;0,51
6,290;0,36;0,51
6,300;0,36;0,52
6,310;0,37;0,52
6,320;0,38;0,52
6,330;0,38;0,51
6,340;0,39;0,50
6,350;0,39;0,49
6,360;0,40;0,47
6,370;0,40;0,45
6,380;0,40;0,43
6,390;0,41;0,41
6,400;0,41;0,39
6,410;0,42;0,36
6,420;0,42;0,33
6,430;0,42;0,30
6,440;0,43;0,27
6,450;0,43;0,24
6,460;0,43;0,20
6,470;0,43;0,16
6,480;0,43;0,13
6,490;0,43;0,09
6,500;0,44;0,05
6,510;0,44;0,00
6,520;0,44;-0,04
6,530;0,43;-0,08
6,540;0,43;-0,11
6,550;0,43;-0,15
6,560;0,43;-0,19
6,570;0,43;-0,23
6,580;0,43;-0,27
6,590;0,42;-0,30
6,600;0,42;-0,33
6,610;0,42;-0,36
6,620;0,41;-0,38
6,630;0,41;-0,40
6,640;0,40;-0,42
6,650;0,40;-0,44
6,660;0,40;-0,46
6,670;0,39;-0,48
6,680;0,39;-0,49
6,690;0,38;-0,50
6,700;0,38;-0,51
6,710;0,37;-0,51
6,720;0,37;-0,51
6,730;0,36;-0,50
6,740;0,36;-0,50
6,750;0,35;-0,49
6,760;0,35;-0,48
6,770;0,34;-0,46
6,780;0,34;-0,45
6,790;0,33;-0,43
6,800;0,33;-0,40
6,810;0,32;-0,38
6,820;0,32;-0,35
6,830;0,32;-0,32
6,840;0,31;-0,29
6,850;0,31;-0,25
6,860;0,31;-0,22
6,870;0,31;-0,19
6,880;0,31;-0,15
6,890;0,30;-0,11
6,900;0,30;-0,07
6,910;0,30;-0,04
6,920;0,30;0,01
6,930;0,30;0,05
6,940;0,30;0,08
6,950;0,30;0,12
6,960;0,31;0,16
6,970;0,31;0,19
6,980;0,31;0,22
6,990;0,31;0,25
7,000;0,31;0,29
7,010;0,32;0,32
7,020;0,32;0,35
7,030;0,33;0,38
7,040;0,33;0,40
7,050;0,33;0,42
7,060;0,34;0,44
7,070;0,34;0,46
7,080;0,35;0,47
7,090;0,35;0,48
7,100;0,36;0,49
7,110;0,36;0,50
7,120;0,37;0,50
7,130;0,37;0,50
7,140;0,38;0,50
7,150;0,38;0,49
7,160;0,39;0,48
7,170;0,39;0,46
7,180;0,40;0,44
7,190;0,40;0,42
7,200;0,40;0,40
7,210;0,41;0,38
7,220;0,41;0,36
7,230;0,41;0,34
7,240;0,42;0,31
7,250;0,42;0,28
7,260;0,42;0,25
7,270;0,43;0,22
7,280;0,43;0,19
7,290;0,43;0,16
7,300;0,43;0,14
7,310;0,43;0,11
7,320;0,43;0,07
7,330;0,43;0,02
7,340;0,43;-0,05
7,350;0,43;-0,13
7,360;0,43;-0,18
7,370;0,43;-0,21
7,380;0,43;-0,22
7,390;0,42;-0,24
7,400;0,42;-0,26
7,410;0,42;-0,29
