"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
4,970;0,20;0,36
4,980;0,21;0,36
4,990;0,21;0,36
5,000;0,21;0,35
5,010;0,22;0,35
5,020;0,22;0,34
5,030;0,22;0,33
5,040;0,23;0,32
5,050;0,23;0,31
5,060;0,23;0,31
5,070;0,24;0,30
5,080;0,24;0,29
5,090;0,24;0,27
5,100;0,24;0,26
5,110;0,25;0,25
5,120;0,25;0,24
5,130;0,25;0,22
5,140;0,25;0,20
5,150;0,26;0,19
5,160;0,26;0,17
5,170;0,26;0,16
5,180;0,26;0,14
5,190;0,26;0,12
5,200;0,26;0,11
5,210;0,26;0,09
5,220;0,26;0,07
5,230;0,27;0,06
5,240;0,27;0,04
5,250;0,27;0,02
5,260;0,27;0,00
5,270;0,27;-0,02
5,280;0,27;-0,04
5,290;0,27;-0,05
5,300;0,26;-0,07
5,310;0,26;-0,09
5,320;0,26;-0,10
5,330;0,26;-0,12
5,340;0,26;-0,14
5,350;0,26;-0,15
5,360;0,26;-0,17
5,370;0,26;-0,19
5,380;0,25;-0,21
5,390;0,25;-0,22
5,400;0,25;-0,23
5,410;0,25;-0,24
5,420;0,24;-0,25
5,430;0,24;-0,27
5,440;0,24;-0,28
5,450;0,24;-0,29
5,460;0,23;-0,30
5,470;0,23;-0,31
5,480;0,23;-0,32
5,490;0,22;-0,33
5,500;0,22;-0,34
5,510;0,22;-0,34
5,520;0,21;-0,35
5,530;0,21;-0,36
5,540;0,21;-0,36
5,550;0,20;-0,36
5,560;0,20;-0,36
5,570;0,20;-0,36
5,580;0,19;-0,36
5,590;0,19;-0,31
5,600;0,19;-0,26
5,610;0,18;-0,26
5,620;0,18;-0,31
5,630;0,18;-0,33
5,640;0,17;-0,27
5,650;0,17;-0,23
5,660;0,17;-0,24
5,670;0,17;-0,28
5,680;0,16;-0,31
5,690;0,16;-0,31
5,700;0,16;-0,30
5,710;0,16;-0,29
5,720;0,15;-0,28
5,730;0,15;-0,26
5,740;0,15;-0,25
5,750;0,14;-0,24
5,760;0,14;-0,23
5,770;0,14;-0,22
5,780;0,14;-0,23
5,790;0,14;-0,24
5,800;0,13;-0,23
5,810;0,13;-0,20
5,820;0,13;-0,14
5,830;0,13;-0,07
5,840;0,13;0,04
5,850;0,13;0,10
5,860;0,13;0,08
5,870;0,13;0,01
5,880;0,13;-0,03
5,890;0,13;0,00
5,900;0,13;0,02
5,910;0,13;0,04
5,920;0,13;0,02
5,930;0,13;-0,03
5,940;0,13;-0,04
5,950;0,13;0,01
5,960;0,13;0,08
5,970;0,13;0,13
5,980;0,13;0,15
5,990;0,13;0,17
6,000;0,14;0,18
6,010;0,14;0,19
6,020;0,14;0,21
6,030;0,14;0,22
6,040;0,14;0,17
6,050;0,15;0,13
6,060;0,15;0,15
6,070;0,15;0,22
6,080;0,15;0,29
6,090;0,15;0,30
6,100;0,16;0,31
6,110;0,16;0,31
6,120;0,16;0,32
6,130;0,17;0,32
6,140;0,17;0,33
6,150;0,17;0,33
6,160;0,18;0,29
6,170;0,18;0,25
6,180;0,18;0,26
6,190;0,18;0,32
6,200;0,19;0,36
6,210;0,19;0,36
6,220;0,20;0,36
6,230;0,20;0,35
6,240;0,20;0,34
6,250;0,21;0,33
6,260;0,21;0,33
6,270;0,21;0,34
6,280;0,22;0,34
6,290;0,22;0,34
6,300;0,22;0,33
6,310;0,23;0,32
6,320;0,23;0,31
6,330;0,23;0,30
6,340;0,23;0,29
6,350;0,24;0,28
6,360;0,24;0,27
6,370;0,24;0,25
6,380;0,25;0,24
6,390;0,25;0,23
6,400;0,25;0,22
6,410;0,25;0,20
6,420;0,25;0,18
6,430;0,26;0,17
6,440;0,26;0,15
6,450;0,26;0,14
6,460;0,26;0,12
6,470;0,26;0,10
6,480;0,26;0,09
6,490;0,26;0,07
6,500;0,26;0,05
6,510;0,26;0,03
6,520;0,26;0,02
6,530;0,26;0,00
6,540;0,26;-0,02
6,550;0,26;-0,04
6,560;0,26;-0,06
6,570;0,26;-0,07
6,580;0,26;-0,09
6,590;0,26;-0,11
6,600;0,26;-0,12
6,610;0,26;-0,13
6,620;0,26;-0,15
6,630;0,26;-0,17
6,640;0,25;-0,18
6,650;0,25;-0,20
6,660;0,25;-0,21
6,670;0,25;-0,22
6,680;0,25;-0,23
6,690;0,24;-0,25
6,700;0,24;-0,26
6,710;0,24;-0,27
6,720;0,23;-0,28
6,730;0,23;-0,29
6,740;0,23;-0,26
6,750;0,23;-0,23
6,760;0,23;-0,23
6,770;0,22;-0,28
6,780;0,22;-0,33
6,790;0,22;-0,36
6,800;0,21;-0,35
6,810;0,21;-0,31
6,820;0,21;-0,29
6,830;0,20;-0,30
6,840;0,20;-0,34
6,850;0,20;-0,34
6,860;0,19;-0,35
6,870;0,19;-0,35
6,880;0,19;-0,34
6,890;0,18;-0,34
6,900;0,18;-0,34
6,910;0,18;-0,34
6,920;0,17;-0,34
6,930;0,17;-0,28
6,940;0,17;-0,20
6,950;0,17;-0,19
6,960;0,16;-0,23
6,970;0,16;-0,28
6,980;0,16;-0,28
6,990;0,15;-0,27
